title,authors,language_code
Ruby Cookbook,Lucas Carlson/Leonard Richardson,eng
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,eng
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,eng
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,eng
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,eng
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,eng
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,eng
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,eng
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,eng
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,eng
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,eng
Dinner with Anna Karenina,Gloria Goldreich,eng
Tolstoy: Anna Karenina,Anthony Thorlby,eng
Untouchable,Mulk Raj Anand/E.M. Forster,eng
The Untouchable,John Banville,eng
The Untouchables,Eliot Ness/Oscar Fraley,eng
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,en-US
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,eng
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,eng
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,eng
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,eng
Wrinkles in Time,George Smoot/Keay Davidson,eng
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,eng
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,eng
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,spa
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,eng
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,eng
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,en-US
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,eng
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,eng
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,eng
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,eng
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,eng
I am Charlotte Simmons,Tom Wolfe,eng
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,eng
The Puffin Book of Nonsense Verse,Quentin Blake,eng
Henry Miller on Writing,Henry Miller/Thomas H. Moore,eng
Quiet Days in Clichy,Henry Miller,eng
Tropic of Cancer,Henry Miller/Jiří Níl,eng
Tropic of Capricorn,Henry Miller,eng
Nexus (The Rosy Crucifixion  #3),Henry Miller,eng
Sexus (The Rosy Crucifixion  #1),Henry Miller,eng
The Air-Conditioned Nightmare,Henry Miller,eng
The Portrait of a Lady,Henry James/Patricia Crick,eng
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,eng
Writing,Marguerite Duras,eng
The War,Marguerite Duras/Barbara Bray,eng
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,en-US
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,eng
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,eng
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,eng
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,eng
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,eng
Sand and Foam,Kahlil Gibran/جبران خليل جبران,eng
Treasure Island,Robert Louis Stevenson,eng
Treasure Island,Robert Louis Stevenson/Scott McKowen,en-US
Treasure Island,Robert Louis Stevenson,eng
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,eng
Treasure Island,Robert Louis Stevenson/Milo Winter,en-US
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,eng
100 Years of Lynchings,Ralph Ginzburg,eng
Cien años de soledad,Gabriel García Márquez,spa
On Beyond Zebra!,Dr. Seuss,eng
The Wedding Clause,Debbie Raleigh,eng
The Zebra Wall,Kevin Henkes,eng
El perfume: Historia de un asesino,Patrick Süskind,spa
The Door Into Summer,Robert A. Heinlein,eng
Stranger in a Strange Land,Robert A. Heinlein,eng
To Sail Beyond the Sunset,Robert A. Heinlein,en-US
Job: A Comedy of Justice,Robert A. Heinlein,en-US
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,eng
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,en-US
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,eng
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,eng
Douglas Adams's Starship Titanic,Terry Jones,eng
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,eng
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,eng
On Bullshit,Harry G. Frankfurt,eng
Another Bullshit Night in Suck City,Nick Flynn,eng
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,en-US
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,eng
Underworld,Don DeLillo,eng
Libra,Don DeLillo,eng
Americana,Don DeLillo,eng
Running Dog,Don DeLillo,eng
Cosmopolis,Don DeLillo,eng
Great Jones Street,Don DeLillo,eng
The Names,Don DeLillo,eng
Against the Day,Thomas Pynchon,eng
V.,Thomas Pynchon,eng
The Crying of Lot 49,Thomas Pynchon,eng
Gravity's Rainbow,Thomas Pynchon,eng
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,eng
Vineland,Thomas Pynchon,en-US
Gravity's Rainbow,Thomas Pynchon,eng
Slow Learner: Early Stories,Thomas Pynchon,eng
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,eng
The Year of Magical Thinking,Joan Didion,en-US
The White Album,Joan Didion,eng
A Book of Common Prayer,Joan Didion,eng
Where I Was From,Joan Didion,eng
Slouching Towards Bethlehem,Joan Didion,eng
Democracy,Joan Didion,en-US
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,eng
Play It As It Lays,Joan Didion/David Thomson,eng
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,eng
City of Glass (The New York Trilogy  #1),Paul Auster,eng
Ghosts (The New York Trilogy  #2),Paul Auster,eng
The Locked Room (The New York Trilogy  #3),Paul Auster,eng
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,eng
The Brooklyn Follies,Paul Auster,eng
Moon Palace,Paul Auster,eng
The Music of Chance,Paul Auster,en-US
Travels in the Scriptorium,Paul Auster,eng
Leviathan,Paul Auster,eng
The Red Notebook: True Stories,Paul Auster,eng
Timbuktu / Leviathan / Moon Palace,Paul Auster,fre
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,eng
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,en-US
Collapse of Complex Societies,Joseph A. Tainter,eng
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,eng
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,eng
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,eng
My Inventions,Nikola Tesla,eng
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,eng
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,eng
Tesla Papers,Nikola Tesla/David Hatcher Childress,eng
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,eng
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,en-US
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,eng
Lord of the Flies,William Golding,eng
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,eng
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,eng
The Lovely Bones,Alice Sebold,en-GB
The Lovely Bones,Alice Sebold,en-US
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,eng
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,en-US
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,en-US
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,mul
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,eng
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,eng
Vice (V  #8),Jane Feather,eng
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,eng
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,eng
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,en-GB
Motorcycle Basics Techbook,John Harold Haynes,eng
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,eng
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,eng
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,eng
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,eng
Atlas Shrugged,Ayn Rand/Leonard Peikoff,eng
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,eng
The Fountainhead,Ayn Rand,en-US
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,eng
Anthem,Ayn Rand,eng
We the Living,Ayn Rand/Leonard Peikoff,eng
Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,eng
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,eng
Sailing for Dummies,J.J. Isler/Peter Isler,eng
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,eng
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,eng
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,eng
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,en-US
The Natural,Bernard Malamud/Kevin Baker,eng
Digging to America,Anne Tyler,eng
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,eng
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,en-US
The Plot Against America,Philip Roth,eng
Naked Pictures of Famous People,Jon   Stewart,en-GB
Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,eng
Crónica de una muerte anunciada,Gabriel García Márquez,spa
Cien años de soledad,Gabriel García Márquez,spa
Del amor y otros demonios,Gabriel García Márquez,spa
Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,eng
Memoria de mis putas tristes,Gabriel García Márquez,spa
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,eng
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,eng
The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,eng
Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,eng
Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,spa
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,eng
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,eng
Cryptonomicon,Neal Stephenson,eng
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,fre
The Confusion (The Baroque Cycle  #2),Neal Stephenson,en-US
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,eng
The Cobweb,Neal Stephenson/J. Frederick George,eng
The Big U,Neal Stephenson,en-US
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,eng
Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,eng
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,en-US
Snow Crash,Neal Stephenson/Guy Abadia,eng
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,eng
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,eng
The Design of Everyday Things,Donald A. Norman,eng
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,eng
The Psychology of Everyday Things,Donald A. Norman,eng
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,en-GB
The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,eng
The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,eng
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,eng
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,eng
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,eng
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,eng
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,eng
The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,en-US
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,eng
Pompeii,Robert   Harris,eng
The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,eng
Of Mice and Men,John Steinbeck,eng
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,en-US
The Westing Game,Ellen Raskin,eng
The Egypt Game,Zilpha Keatley Snyder,eng
Memoirs of a Geisha,Arthur Golden,eng
Memoirs of a Geisha,Arthur Golden,eng
Memoirs of a Geisha,Arthur Golden,en-US
Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,eng
Memoirs of a Geisha,Arthur Golden,eng
Geisha of Gion,Mineko Iwasaki/Rande Brown,eng
Love As A Foreign Language #5,J. Torres/Eric  Kim,eng
Jungle Love,Margaret Johnson/Philip Prowse,eng
The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,eng
Angels & Demons (Robert Langdon  #1),Dan Brown,eng
Ángeles y demonios (Robert Langdon  #1),Dan Brown,spa
Angeles & Demonios,Dan Brown/Raúl Amundaray,spa
The Da Vinci Code (Robert Langdon  #2),Dan Brown,eng
The Da Vinci Code,Dan Brown,eng
Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,fre
Deception Point,Dan Brown,eng
Deception Point,Dan Brown,eng
Deception Point,Dan Brown,eng
A Killing Rain (Louis Kincaid  #6),P.J. Parrish,eng
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,eng
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,eng
Think and Grow Rich,Napoleon Hill,eng
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,eng
Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,en-US
Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,en-US
The Richest Man in Babylon,George S. Clason,eng
The Richest Man in Babylon,George S. Clason,eng
Shibumi,Trevanian/Gisela Stege,eng
1776,David McCullough,eng
1776,Peter  Stone/Sherman Edwards,eng
The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,eng
The Good Earth (House of Earth  #1),Pearl S. Buck,eng
Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,eng
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,eng
Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,eng
Snow Flower and the Secret Fan,Lisa See,eng
The Broker,John Grisham,eng
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,eng
The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,eng
Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,en-US
Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,en-US
Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,eng
The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,en-US
The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,eng
Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,eng
Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,en-US
Monkey Business,Sarah Mlynowski,eng
Liar's Poker,Michael   Lewis,eng
Liar's Poker: A Harry Garnish Mystery,Frank McConnell,eng
Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,eng
Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,eng
Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,eng
Everyday Pasta,Giada De Laurentiis/Victoria Pearson,eng
Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,eng
Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,eng
Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,eng
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,eng
Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner,spa
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,en-US
The Last Assassin (John Rain  #5),Barry Eisler,eng
Life of Pi,Yann Martel,en-US
L'Histoire de Pi,Yann Martel/Nicole Martel/Emile Martel,fre
Shadows and Wind: A View of Modern Vietnam,Robert Templer,eng
A Million Little Pieces,James Frey,eng
A Million Little Pieces of Feces,Python Bonkers,en-US
A Million Little Lies,James Pinocchio/Pablo Fenjves,en-US
The Leadership Challenge,James M. Kouzes/Barry Z. Posner,en-US
Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,eng
Leadership in Organizations,Gary Yukl,en-GB
Leadership,Rudolph W. Giuliani,eng
Men Are from Mars  Women Are from Venus,John Gray,eng
Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,John Gray,en-US
Men Are from Mars  Women Are from Venus,John Gray,eng
How to Succeed with Women,Ron  Louis/David Copeland,en-US
The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,eng
The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,eng
Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,eng
Juiced Official Strategy Guide,Doug Walsh,eng
The 48 Laws of Power,Robert Greene/Joost Elffers,eng
Gates of Fire,Steven Pressfield,eng
Fire Sea (The Death Gate Cycle  #3),Margaret Weis/Tracy Hickman,eng
The Gate of Fire (Oath Of Empire Book Two),Thomas Harlan,en-US
The Afghan Campaign,Steven Pressfield,eng
Tides of War,Steven Pressfield,eng
Last of the Amazons,Steven Pressfield,eng
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,eng
Gita on the Green,Stephen J. Rosen/Steven Pressfield,en-US
Blood Stripes: The Grunt's View of the War in Iraq,David J. Danelo/Steven Pressfield,eng
Phaedrus and Letters VII and VIII,Plato/Walter Hamilton,en-US
Phaedrus,Plato/Robin Waterfield,eng
Phaedrus,Plato/C.J. Rowe,eng
Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato/Benjamin Jowett,eng
Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,eng
On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Plato/C.D.C. Reeve,eng
Gorgias/Phaedrus (Agora),Plato/James H. Nichols Jr.,eng
Statesman,Plato/C.J. Rowe,eng
Gorgias,Plato/Walter Hamilton/Chris Emlyn-Jones,en-GB
The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola,eng
The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola,eng
The History (Great Minds),Herodotus/Henry Francis Cary,en-US
The Histories,Herodotus/Carolyn Dewald/Robin Waterfield,eng
The Histories,Herodotus/Aubrey de Sélincourt/Andrew Robert Burn,en-US
